B, F1, F2, H, B, H1, H2, F, comm_cost, num_nodes, mem_cost
2,1,1,8,8,2,1,1,112197632.0,32,73924608.0
8,2,1,1,2,1,1,8,112197632.0,32,73924608.0
1,1,1,8,4,1,2,2,113246208.0,24,110624768.0
1,1,1,8,4,2,1,2,113246208.0,24,107479040.0
1,1,1,16,8,1,2,1,113246208.0,32,90439680.0
1,1,2,8,8,1,1,2,113246208.0,32,90439680.0
2,1,1,1,4,1,1,4,113246208.0,18,181403648.0
2,1,1,2,4,1,1,1,113246208.0,8,165675008.0
2,1,1,4,16,1,1,1,113246208.0,24,74448896.0
4,1,1,1,2,1,1,2,113246208.0,8,165675008.0
4,1,1,1,8,1,1,1,113246208.0,12,121634816.0
4,1,1,4,2,1,1,1,113246208.0,18,181403648.0
4,1,2,2,1,1,1,8,113246208.0,24,110624768.0
4,2,1,2,1,1,1,8,113246208.0,24,107479040.0
8,1,1,1,4,1,1,1,113246208.0,12,121634816.0
8,1,1,2,1,1,2,8,113246208.0,32,90439680.0
8,1,2,1,1,1,1,16,113246208.0,32,90439680.0
16,1,1,1,2,1,1,4,113246208.0,24,74448896.0
2,1,1,2,2,2,1,4,115343360.0,20,128974848.0
2,2,1,4,2,1,1,2,115343360.0,20,128974848.0
2,2,1,4,8,1,1,1,115343360.0,24,84934656.0
8,1,1,1,2,2,1,4,115343360.0,24,84934656.0
8,1,1,2,8,2,1,1,115343360.0,32,62914560.0
8,2,1,1,8,1,1,2,115343360.0,32,62914560.0
1,1,1,4,1,1,1,8,117440512.0,12,169345024.0
1,1,1,8,1,1,1,4,117440512.0,12,169345024.0
1,1,1,8,1,2,1,8,117440512.0,24,118489088.0
1,1,2,8,4,1,1,2,117440512.0,24,111411200.0
1,2,1,8,1,1,1,8,117440512.0,24,118489088.0
2,1,1,2,4,1,2,2,117440512.0,20,128974848.0
2,1,1,2,4,2,1,2,117440512.0,20,125829120.0
4,1,1,1,4,1,1,1,117440512.0,8,159383552.0
4,1,1,2,1,1,2,8,117440512.0,24,111411200.0
4,1,2,2,2,1,1,2,117440512.0,20,128974848.0
4,1,2,2,8,1,1,1,117440512.0,24,84934656.0
4,2,1,2,2,1,1,2,117440512.0,20,125829120.0
4,2,1,2,8,1,1,1,117440512.0,24,81788928.0
8,1,1,1,4,1,2,2,117440512.0,24,84934656.0
8,1,1,1,4,2,1,2,117440512.0,24,81788928.0
1,1,1,8,2,1,2,4,118489088.0,24,118489088.0
2,1,1,1,2,1,1,8,118489088.0,18,189267968.0
2,1,1,8,2,1,1,1,118489088.0,18,189267968.0
2,1,2,4,1,1,1,8,118489088.0,24,118489088.0
1,1,1,16,16,1,1,1,119537664.0,32,73662464.0
1,1,2,8,2,1,1,4,119537664.0,24,118751232.0
2,1,1,4,1,1,2,8,119537664.0,24,118751232.0
2,2,1,4,4,1,1,1,119537664.0,20,122683392.0
4,1,1,1,2,2,1,4,119537664.0,20,122683392.0
4,1,1,2,8,2,1,1,119537664.0,24,83886080.0
8,2,1,1,4,1,1,2,119537664.0,24,83886080.0
16,1,1,1,1,1,1,16,119537664.0,32,73662464.0
1,1,1,2,4,1,1,4,121634816.0,18,196083712.0
1,1,1,4,2,1,1,2,121634816.0,8,187695104.0
1,1,1,4,8,1,1,1,121634816.0,12,143654912.0
1,1,1,8,8,1,2,1,121634816.0,24,107479040.0
1,2,1,8,2,1,1,2,121634816.0,20,136839168.0
1,2,1,8,8,1,1,1,121634816.0,24,92798976.0
2,1,1,1,8,1,1,2,121634816.0,18,178257920.0
2,1,1,2,1,1,1,4,121634816.0,8,187695104.0
2,1,1,2,1,2,1,8,121634816.0,20,136839168.0
2,1,1,4,8,2,1,1,121634816.0,24,91226112.0
2,2,1,4,2,2,1,4,121634816.0,32,85983232.0
4,1,1,1,4,1,2,2,121634816.0,20,122683392.0
4,1,1,1,4,2,1,2,121634816.0,20,119537664.0
4,1,1,4,1,1,1,2,121634816.0,18,196083712.0
4,1,2,2,4,1,1,1,121634816.0,20,122683392.0
4,2,1,2,4,1,1,1,121634816.0,20,119537664.0
8,1,1,1,1,1,1,4,121634816.0,12,143654912.0
8,1,1,1,1,2,1,8,121634816.0,24,92798976.0
8,1,1,2,2,1,1,1,121634816.0,18,178257920.0
8,1,2,1,1,1,1,8,121634816.0,24,107479040.0
8,2,1,1,2,1,1,4,121634816.0,24,91226112.0
2,1,1,2,2,1,2,4,122683392.0,20,136839168.0
2,1,2,4,2,1,1,2,122683392.0,20,136839168.0
2,1,2,4,8,1,1,1,122683392.0,24,92798976.0
8,1,1,1,2,1,2,4,122683392.0,24,92798976.0
2,2,1,4,4,1,2,2,123731968.0,32,85983232.0
2,2,1,4,4,2,1,2,123731968.0,32,82837504.0
4,1,2,2,2,2,1,4,123731968.0,32,85983232.0
4,2,1,2,2,2,1,4,123731968.0,32,82837504.0
1,1,1,4,4,1,1,1,125829120.0,8,181403648.0
1,1,1,16,1,1,2,8,125829120.0,32,117964800.0
1,1,2,8,1,1,1,16,125829120.0,32,117964800.0
1,2,1,8,4,1,1,1,125829120.0,20,130547712.0
2,1,1,1,4,1,1,2,125829120.0,10,199229440.0
2,1,1,2,8,1,2,1,125829120.0,20,125829120.0
4,1,1,1,1,1,1,4,125829120.0,8,181403648.0
4,1,1,1,1,2,1,8,125829120.0,20,130547712.0
4,1,1,2,2,1,1,1,125829120.0,10,199229440.0
4,1,2,2,4,1,2,2,125829120.0,32,85983232.0
4,1,2,2,4,2,1,2,125829120.0,32,82837504.0
4,2,1,2,4,1,2,2,125829120.0,32,82837504.0
4,2,1,2,4,2,1,2,125829120.0,32,79691776.0
8,1,1,1,8,1,2,1,125829120.0,24,81788928.0
8,1,2,1,2,1,1,2,125829120.0,20,125829120.0
8,1,2,1,8,1,1,1,125829120.0,24,81788928.0
1,1,1,2,2,1,1,8,126877696.0,18,203948032.0
2,1,1,8,1,1,1,2,126877696.0,18,203948032.0
2,1,2,4,4,1,1,1,126877696.0,20,130547712.0
4,1,1,1,2,1,2,4,126877696.0,20,130547712.0
1,1,1,4,2,2,1,4,127926272.0,20,144703488.0
1,1,1,8,16,1,1,1,127926272.0,24,90701824.0
1,1,1,16,8,2,1,1,127926272.0,32,90439680.0
1,2,1,8,2,2,1,4,127926272.0,32,93847552.0
2,1,1,1,2,1,1,4,127926272.0,10,206569472.0
2,1,1,4,2,1,1,1,127926272.0,10,206569472.0
2,2,1,4,1,1,1,4,127926272.0,20,144703488.0
2,2,1,4,1,2,1,8,127926272.0,32,93847552.0
8,2,1,1,1,1,1,16,127926272.0,32,90439680.0
16,1,1,1,1,1,1,8,127926272.0,24,90701824.0
2,1,2,4,2,2,1,4,128974848.0,32,93847552.0
2,2,1,4,2,1,2,4,128974848.0,32,93847552.0
1,1,1,2,8,1,1,2,130023424.0,18,192937984.0
1,1,1,4,4,1,2,2,130023424.0,20,144703488.0
1,1,1,4,4,2,1,2,130023424.0,20,141557760.0
1,2,1,8,4,1,2,2,130023424.0,32,93847552.0
1,2,1,8,4,2,1,2,130023424.0,32,90701824.0
4,1,1,1,8,1,2,1,130023424.0,20,119537664.0
4,1,2,2,1,1,1,4,130023424.0,20,144703488.0
4,1,2,2,1,2,1,8,130023424.0,32,93847552.0
4,2,1,2,1,1,1,4,130023424.0,20,141557760.0
4,2,1,2,1,2,1,8,130023424.0,32,90701824.0
8,1,1,2,1,1,1,2,130023424.0,18,192937984.0
8,1,2,1,4,1,1,1,130023424.0,20,119537664.0
2,1,2,4,4,1,2,2,131072000.0,32,93847552.0
2,1,2,4,4,2,1,2,131072000.0,32,90701824.0
4,1,2,2,2,1,2,4,131072000.0,32,93847552.0
4,2,1,2,2,1,2,4,131072000.0,32,90701824.0
2,1,1,2,16,1,1,1,132120576.0,20,109051904.0
2,2,1,4,8,1,2,1,132120576.0,32,82837504.0
8,1,1,1,16,1,1,1,132120576.0,24,65011712.0
8,1,2,1,2,2,1,4,132120576.0,32,82837504.0
16,1,1,1,2,1,1,2,132120576.0,20,109051904.0
16,1,1,1,8,1,1,1,132120576.0,24,65011712.0
1,1,1,2,4,1,1,2,134217728.0,10,213909504.0
1,1,1,4,1,1,1,4,134217728.0,8,203423744.0
1,1,1,4,1,2,1,8,134217728.0,20,152567808.0
1,1,1,8,1,1,2,8,134217728.0,24,135004160.0
1,1,1,16,2,1,1,1,134217728.0,18,205783040.0
1,1,2,8,1,1,1,8,134217728.0,24,135004160.0
1,2,1,8,1,1,1,4,134217728.0,20,152567808.0
1,2,1,8,1,2,1,8,134217728.0,32,101711872.0
2,1,1,1,1,1,1,16,134217728.0,18,205783040.0
2,2,1,2,4,1,1,4,134217728.0,24,103809024.0
4,1,1,2,1,1,1,2,134217728.0,10,213909504.0
4,1,1,4,2,2,1,2,134217728.0,24,103809024.0
4,1,2,2,8,1,2,1,134217728.0,32,82837504.0
4,2,1,2,8,1,2,1,134217728.0,32,79691776.0
8,1,2,1,4,1,2,2,134217728.0,32,82837504.0
8,1,2,1,4,2,1,2,134217728.0,32,79691776.0
1,1,1,4,2,1,2,4,135266304.0,20,152567808.0
1,2,1,8,2,1,2,4,135266304.0,32,101711872.0
2,1,2,4,1,1,1,4,135266304.0,20,152567808.0
2,1,2,4,1,2,1,8,135266304.0,32,101711872.0
1,1,1,2,2,1,1,4,136314880.0,10,221249536.0
1,1,1,8,8,2,1,1,136314880.0,24,107479040.0
2,1,1,4,1,1,1,2,136314880.0,10,221249536.0
2,1,2,4,2,1,2,4,136314880.0,32,101711872.0
4,1,1,1,16,1,1,1,136314880.0,20,102760448.0
8,2,1,1,1,1,1,8,136314880.0,24,107479040.0
16,1,1,1,4,1,1,1,136314880.0,20,102760448.0
1,1,1,4,8,1,2,1,138412032.0,20,141557760.0
1,1,2,8,2,1,1,2,138412032.0,20,153354240.0
1,1,2,8,8,1,1,1,138412032.0,24,109314048.0
1,2,1,4,4,1,1,4,138412032.0,24,111149056.0
1,2,1,8,8,1,2,1,138412032.0,32,90701824.0
2,1,1,2,1,1,2,8,138412032.0,20,153354240.0
2,2,1,4,16,1,1,1,138412032.0,32,66060288.0
4,1,1,4,1,2,1,4,138412032.0,24,111149056.0
4,1,1,4,4,1,2,1,138412032.0,24,103809024.0
4,1,2,1,4,1,1,4,138412032.0,24,103809024.0
8,1,1,1,1,1,2,8,138412032.0,24,109314048.0
8,1,2,1,1,1,1,4,138412032.0,20,141557760.0
8,1,2,1,1,2,1,8,138412032.0,32,90701824.0
16,1,1,1,2,2,1,4,138412032.0,32,66060288.0
2,1,1,8,2,2,1,2,139460608.0,24,111673344.0
2,1,2,4,8,1,2,1,139460608.0,32,90701824.0
2,2,1,2,2,1,1,8,139460608.0,24,111673344.0
8,1,2,1,2,1,2,4,139460608.0,32,90701824.0
2,1,1,2,8,2,1,1,140509184.0,20,125829120.0
2,1,2,2,4,1,1,4,140509184.0,24,111149056.0
